;Country or dependency;Density/km2;Density/mi2;Population;Area/km2;Area/mi2
68; Denmark;138;360;5,910,913;42,947;16,582
69; Cyprus;136;350;1,260,138;9,251;3,572
70; United Arab Emirates;134;350;9,516,871;71,024;27,423
71; Czech Republic;133;340;10,495,295;78,871;30,452
72; Jordan;127;330;11,337,053;89,318;34,486
73; Syria;125;320;23,227,014;185,18;71,5
74; Sierra Leone;122;320;8,791,092;72,3;27,9
75; Poland;120;310;37,691,000;313,931;121,209
76; Azerbaijan;120;310;10,412,652;86,6;33,4
77; Benin;119;310;13,712,828;114,763;44,31
78; Slovakia;118;310;5,795,199;49,035;18,933
79; France (metropolitan);117;300;64,756,584;551,5;212,9
80; Ethiopia;115;300;126,527,060;1,104,300;426,4
81; Egypt;112;290;112,716,599;1,002,000;387
82; Portugal;111;290;10,247,605;92,225;35,608
83; Turkey;110;280;85,816,199;783,562;302,535
84; Hungary;109;280;10,156,239;93,025;35,917
85; Austria;107;280;8,958,961;83,878;32,385
86; Iraq;105;270;45,504,560;435,052;167,975
87; Slovenia;105;270;2,119,675;20,273;7,827
88; Malaysia;104;270;34,308,525;330,621;127,653
89; Costa Rica;102;260;5,212,173;51,1;19,7
90; Cuba;102;260;11,194,449;109,884;42,426
91; Moldova;102;260;3,435,931;33,847;13,068
92; Albania;99;260;2,832,439;28,748;11,1
93; Dominica;97;250;73,04;750;290
94; Honduras;94;240;10,593,798;112,492;43,433
95; Spain;94;240;47,519,628;506,009;195,371
96; Cambodia;94;240;16,944,826;181,039;69,9
97; Armenia;93;240;2,777,971;29,743;11,484
98; Kenya;93;240;55,100,587;591,958;228,556
99; East Timor;91;240;1,360,596;14,919;5,76
100; Senegal;90;230;17,763,163;196,712;75,951
101; Ivory Coast;90;230;28,873,034;322,462;124,503
102; Burkina Faso;86;220;23,251,485;270,764;104,543
103; Morocco;85;220;37,840,044;446,55;172,41
104; Romania;83;210;19,892,812;238,398;92,046
105; North Macedonia;81;210;2,085,679;25,713;9,928
106; Serbia;81;210;7,149,077;88,444;34,148
107; Myanmar;81;210;54,577,997;676,577;261,228
108; Samoa;79;200;225,681;2,842;1,097
109; Brunei;78;200;452,524;5,765;2,226
110; Greece;78;200;10,341,277;131,957;50,949
111; Uzbekistan;78;200;35,163,944;448,969;173,348
112; Lesotho;77;200;2,330,318;30,355;11,72
113; Tunisia;76;200;12,458,223;163,61;63,17
114; Ireland;72;190;5,056,935;69,825;26,96
115; Cook Islands;72;190;17,044;236;91
116; Tajikistan;72;190;10,143,543;141,4;54,6
117; Tanzania;71;180;67,438,106;947,303;365,756
118; Croatia;71;180;4,008,617;56,594;21,851
119; Ecuador;71;180;18,190,484;257,215;99,311
120; Eswatini;70;180;1,210,822;17,363;6,704
121; Mexico;65;170;128,455,567;1,964,375;758,449
122; Yemen;65;170;34,449,825;527,968;203,85
123; Afghanistan;65;170;42,239,854;652,864;252,072
124; Bosnia and Herzegovina;63;160;3,210,848;51,209;19,772
125; Equatorial Guinea;61;160;1,714,672;28,051;10,831
126; Ukraine;61;160;36,744,634;603,5;233
127; Bulgaria;61;160;6,687,717;110,372;42,615
128; Cameroon;60;160;28,647,293;475,65;183,65
128;World (excluding Antarctica);60;160;8,045,311,448;134,740,000;52,020,000
129; Guinea-Bissau;60;160;2,150,842;36,125;13,948
130; Panama;59;150;4,468,087;75,32;29,08
131; Guinea;58;150;14,190,612;245,836;94,918
132; Iran;55;140;89,172,767;1,630,848;629,674
133; Nicaragua;54;140;7,046,311;130,373;50,337
133;World (all land);54;140;8,045,311,448;148,940,000;57,510,000
134; Georgia;53;140;3,728,282;69,7;26,9
135; Madagascar;52;130;30,325,732;587,041;226,658
136; Fiji;51;130;936,376;18,272;7,055
